"latitude","longitude","id","prix","surface_terrain","surface_plancher","valeur_sup","dist_transport","dist_ocean","dist_eau","dist_business_district","dist_centre","dist_autoroute","age_maison","bruit_fort","mois_vente","qualite_structure"
25.8910306063,-80.1605605249,"622280070620_8",440000,870.958751393534,162.857673727239,0,261.603493125232,3904.8984706579,105.948039121461,13050.0491352045,11503.7746896721,4863.03328359896,67,0,8,4
25.891324233,-80.1539675238,"622280100460_9",349000,870.958751393534,159.327387588257,0,404.970271274619,3245.61881409944,102.961011551293,13260.2383405502,11381.3370391683,5524.47701115213,63,0,9,4
25.8913341472,-80.153739502,"622280100470_2",8e+05,870.958751393534,211.445559271646,49206,409.968413229283,3222.97226833786,90.5557031731475,13268.0107082073,11377.7404141349,5547.48931539169,61,0,2,4
25.8917646206,-80.1526571373,"622280100530_9",988000,1156.63322185061,191.192865105909,10033,425.956893348198,3095.68831800092,0,13349.4224494309,11406.5438942758,5643.16563725656,63,0,9,4
25.891824571,-80.1546394619,"622280100200_7",755000,1189.14901523597,156.447417316983,16681,377.499070977332,3303.04289514226,99.5472657568158,13289.1332603106,11445.4362124343,5456.93361221855,42,0,7,4
25.8920596966,-80.1613541539,"622280070180_2",630000,919.732441471572,142.23337049424,2978,222.166480862133,3967.56508988509,57.5764804086421,13147.5237695861,11636.0573392081,4781.43866313632,41,0,2,4
25.8924726072,-80.1572166474,"622280080100_2",1020000,964.975845410628,162.857673727239,23116,304.477889260498,3556.33064114322,0,13288.828461579,11574.3965557953,5202.36571154465,63,0,2,5
25.8930187999,-80.1574258802,"622280080400_9",850000,954.292084726867,154.496469713861,34933,289.149015235972,3571.6620173452,3.20038668232262,13344.3323106124,11642.7933911775,5178.49997085648,21,0,9,4
25.8930463777,-80.1615562769,"622280080020_3",250000,870.958751393534,138.703084355258,11668,193.403939056113,3975.73369589331,15.6971346799633,13253.1670099759,11747.5527152455,4761.9620241839,56,0,3,4
25.8930495526,-80.1580476911,"622280080370_11",1220000,1282.32998885173,285.86027499071,34580,272.918989223337,3632.4998441825,2.9565476970028,13328.8790149177,11654.0404643754,5116.65630820474,63,0,11,5
25.8932048397,-80.1555378492,"622280080480_2",1160000,1007.80379041249,184.22519509476,28806,326.27276105537,3371.77500912928,3.68806465296225,13416.874408745,11622.6157151423,5370.03549382519,64,0,2,4
25.8934605014,-80.1683697701,"622290410300_11",260000,783.909327387588,166.666666666667,0,22.5566703827573,4666.59050105068,225.124343196522,13145.2072992256,11988.7704314732,4094.54424149039,51,0,11,2
25.893526909,-80.1668569854,"622290410220_7",178000,783.909327387588,140.189520624303,1248,60.5908584169454,4513.70345725516,111.708735149642,13180.8992307018,11948.1712404174,4244.93193568639,56,0,7,2
25.8935304948,-80.1666650338,"622290410210_7",250000,783.909327387588,123.652917131178,0,65.4960981047938,4495.78129183415,107.6549120187,13185.9588896472,11943.47733995,4265.7192091849,66,0,7,2
25.8941562568,-80.1590586955,"622280080970_9",913500,787.346711259755,161.835748792271,9836,225.994054254924,3727.90184718888,0,13425.6830920897,11804.0928799666,5027.35027983135,46,0,9,5
25.8943570265,-80.1680434581,"622290410080_11",159000,778.056484578224,107.580824972129,2677,15.2359717577109,4627.91154200433,163.859798134918,13248.9607874792,12072.8644015354,4131.79064649799,65,0,11,2
25.8943648992,-80.16785559,"622290410070_6",199000,778.056484578224,98.8480118914902,6730,19.453734671126,4608.28250368608,144.230759816673,13253.0450904833,12067.5304237315,4149.86521128482,48,0,6,2
25.8944409224,-80.1611290865,"622280080090_10",590000,870.958751393534,239.130434782609,37975,171.646228167967,3923.06447506423,12.8015467292905,13413.3082635847,11885.4436614439,4811.64421744281,62,0,10,4
25.8946643832,-80.1610606319,"622280120010_2",450000,987.086584912672,142.047565960609,3607,167.772203641769,3913.79859362207,13.1063454609402,13436.076728839,11905.0726997622,4818.68506814392,61,0,2,4
25.8954044487,-80.1544097829,"622280120740_3",1870000,1010.3121516165,422.891118543292,35124,302.285395763657,3244.64345815816,0,13684.9753731042,11838.9313749942,5488.75459980278,8,0,3,5
25.8956119141,-80.1544185384,"622280120730_5",1067300,1010.3121516165,291.434410999628,15972,297.324414715719,3244.43009904601,0,13706.4332038123,11861.3036018972,5488.54124069063,31,0,5,5
25.8959663919,-80.1563252577,"622280120640_12",1056000,794.314381270903,210.516536603493,34952,246.989966555184,3444.40854688142,0,13689.9131125569,11935.7964119124,5310.05110343652,42,0,12,5
25.8965906437,-80.1480698498,"622280170630_9",9e+05,1741.45299145299,370.865849126719,22191,429.357116313638,2598.10438858266,24.6277375173017,13988.4634702078,11848.1058168168,6128.222338804,59,0,9,5
25.8968084764,-80.1564577689,"622280180370_5",1015000,1144.09141583055,178.372352285396,34340,222.51021924935,3453.03435098711,0,13770.5323770783,12014.8612029024,5289.08095069902,21,0,5,5
25.8969740713,-80.151359975,"622280200610_8",1235000,870.958751393534,272.296544035675,30962,340.254552211074,2945.87974139506,0.0609597463299546,13936.2209676031,11946.8301259982,5812.42037294168,58,0,8,5
25.8970739756,-80.1470642984,"622280210930_6",1587500,1161.27833519138,411.371237458194,41032,447.38944630249,2507.54868540952,0,14081.3356437415,11894.1304252959,6234.93237475459,16,0,6,5
25.8972207514,-80.1489638897,"622280210440_1",1265000,870.958751393534,307.785209959123,23278,395.559271646228,2698.29173167595,0,14038.9990999154,11940.1855136482,6046.07908062439,55,0,1,5
25.8975851356,-80.1513917581,"622280200460_1",2450000,870.958751393534,374.21033073207,62453,327.341137123746,2948.19621175559,1.46303391191891,13999.6191037862,12013.8248872148,5812.0546144637,2,0,1,5
25.8975933919,-80.1511638343,"622280200450_6",980000,870.958751393534,286.417688591602,39782,333.00817539948,2925.76302510617,1.70687289723873,14007.4524311896,12010.9292992641,5835.21931806908,57,0,6,5
25.8980587271,-80.1535868064,"622280140120_8",1130000,870.958751393534,246.191007060572,4946,263.377926421405,3161.61628365676,0,13991.1456990464,12111.7262398207,5587.11315050616,60,0,8,5
25.8980679312,-80.1511942939,"622280200360_2",1340000,870.958751393534,238.387216648086,38299,323.216276477146,2929.32917026647,0,14055.7020704098,12062.0440465618,5834.09156276197,58,0,2,5
25.8985041069,-80.1453945003,"622280210940_8",1200000,1416.20215533259,307.971014492754,26097,470.763656633222,2337.31859378312,0,14279.3633796944,12020.0732612136,6412.17283720893,37,0,8,5
25.8986569234,-80.1490239338,"622280210370_1",1550000,870.958751393534,219.063545150502,25757,369.230769230769,2699.38900710988,0,14187.6799212141,12097.7054981648,6045.8962013854,42,0,1,5
25.8989153848,-80.145918368,"622280211060_1",1020000,905.797101449275,231.698253437384,48603,450.065031586771,2386.45214932506,1.55447353141384,14311.9768439809,12081.307326402,6357.55290449729,16,0,1,5
25.8989791034,-80.1573563733,"622280180050_12",975000,870.958751393534,236.064659977703,22771,155.425492382014,3535.87864624952,1.09727543393918,13983.8305294868,12282.2306503056,5220.7755549363,52,0,12,5
25.8991147778,-80.1532505715,"622280200010_10",950000,870.958751393534,221.757710888146,24193,251.27276105537,3124.46131826866,0,14107.6397742829,12213.2851772064,5632.61960114147,26,0,10,5
25.8994777195,-80.148292138,"622280210580_5",1675000,1224.08026755853,416.20215533259,31386,376.086956521739,2619.98893751512,0,14297.7427432129,12169.3027202293,6115.87799017219,24,0,5,5
25.9010582278,-80.150690969,"722210034880_10",120000,175.492382014121,80.0817539947975,0,292.121887774062,2863.88888258127,152.826084049196,14402.7763861394,12393.5736269772,5904.68294901206,21,0,10,1
25.901797204,-80.157754953,"722210030800_9",73000,246.562616127834,85.0984764028242,1342,89.8736529171312,3568.67498977504,244.905780880593,14290.183734668,12609.7978472096,5199.62252295981,66,0,9,1
25.9018385592,-80.1550050836,"722210031500_2",86500,278.613898179116,79.9888517279822,2207,161.742846525455,3290.66806663728,254.720300039715,14362.6343931811,12557.7077439706,5469.97899793316,62,0,2,2
25.90226147,-80.1546475117,"722210032340_1",99300,278.706800445931,82.1256038647343,0,164.762170196953,3251.71478873244,300.562029279841,14418.6564000583,12595.7161458074,5511.58402480335,58,0,1,2
25.9261212689,-80.1282938893,"3122140030580_3",1604000,849.126718691936,137.86696395392,6970,756.521739130435,736.668054524336,2.19455086787837,17743.7972032452,14984.301886254,5453.18458781925,46,0,3,5
25.9286204707,-80.1414704516,"722150012000_10",1225000,868.636194723151,287.625418060201,25519,345.670754366407,2065.1942861662,11.1861134515467,17587.3135344162,15311.3509253142,4367.27814657061,16,0,10,5
